AGAPPL,Commodity_Crop_ACRE,Hay_ACRE,Permanent_Pasture_ACRE,Noncommercial_Woodland_ACRE,Commercial_Timber_ACRE,Other_Crops_ACRE,Homesite_ACRE,Road_Waste_Pond_ACRE,CRP_ACRE,Conservation_Practices_ACRE,Other_Use_ACRE,STATED_TOTAL_ACRES,GROSS_INCOME,GROSS_INCOME_2,GROSS_INCOME_3
1,678.789,,,,,,1,,,,,679.789,,,
2,6.25,,,7.75,,,1,,,,,15,2876,,
3,23,,,6,,,1,,,,,30,,,
4,73.94,,,,,,1,3.334,,1.506,,80,,,
5,34,,,10,,,1,34.9,,,,79.9,,,
6,862.28,0,0,106.339,0,0,1,6.301,29.87,3.407,0,1061.6,,,
7,40,,,,,,,,,,,40,,,
8,3.5,3.5,,3,,0.43,1,,,,,BLANK,,,
9,,,,,,,,,,,,,,,
10,161.2,,,9.4,,,,2.82,,,,173.42,,,
11,35,,,6.378,,,1,1,,,,43.378,,,
13,364.03,,,46.52,,,,10.115,20.052,1.327,,442.042,,,
14,,,,,,,,,,,,,,,
15,44.567,,,20.252,,,,3.309,,,,68.128,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,49.1,,,,,,,3.665,5.2,1.372,,59.337,,,
19,637.505,3.61,,44.162,,,1,28.836,55.99,6.541,,777.644,,,
20,14.27,,,,,,,,,,,14.27,,,
21,173.52,,,18.66,,,2,3.97,,,,198.15,,,
22,351.74,,,26.46,,,,6.886,3.87,,,388.956,,,
23,40,,,5.389,,,1,3.307,,,,57.721,,,
24,11.019,0,0,0.242,0,0,0,0.238,0,0,0,11.4999,,,
25,,,,,,,,,,,,,,,
26,131.501,,,,,,,10.02,26.78,,,168.301,,,
27,75,,,,,,0,2.96,,,,77.96,,,
28,67.563,,,,,,1,1.47,,,,70.033,,,
29,124,,,26.62,,,,3,,,,153.62,,,
30,14,,,,,,1,3,,,,18,,,
31,31,,,2.5,,,,1.289,,,,34.789,,,
32,238.227,,,2.216,,,1,10.686,1.91,0.164,,254.23,,,
33,,,,,,,,,,,,,,,
34,12,,,,,,1,2.613,,,,15.613,,,
35,25,37,,,,,,,,,11.803,73.803,,,
36,151,,,32.9,,,,6.712,,,,190.612,,,
37,,,,,30,,1,4.505,,,,35.505,,,
38,26.297,,,,,,,,,,,26.297,,,
39,39,,,,,,,,,,,39,,,
40,82.01,,,13.24,,,1,1.79,,,,98.04,,,
41,35,,,12.32,,,,4.315,,,,51.635,,,
42,,,,,,,,,,,,,,,
43,,,1.894,,,,1,,,,,2.894,70000,,
44,76.098,,,,,,,,,,,76.098,,,
45,677.663,,,46.664,,,1,30.966,,,,756.293,,,
46,53.6,,,2.09,,,1,3.23,,,,59.92,,,
48,410,0,0,38.28,0,0,1,2.712,21.331,4.072,,477.394,,,
49,96,,,,,,,1.88,,,,97.88,,,
50,304.918,,,18.3,,,2,3.5,,,,328.718,,,
52,41.87,,,6.62,,,,5.2,45.97,,,99.66,,,
53,408,4,,52,,,1,14.475,,,,482.1,,,
54,94.43,,,,15,,1,5.087,,1.853,,117.37,,,
55,,33,,8.575,,,1,3.995,,,,46.57,,,
56,222.75,4,,5.7,,,0,8.15,,,,240.6,,,
57,155.42,,,,,,,2.282,,,,BLANK,,,
58,29.803,,,7.168,,,1,5.654,,,,43.625,,,
59,184.308,,,21.332,,,1,12.36,,,1,BLANK,,,
60,53.708,,,,,,0,3.494,,,,57.202,,,
61,381.054,,,46,,,2,0,8.4,0.976,,438.43,,,
62,,,,,,,1,,,,13.987,BLANK,,,
63,73.75,,,46.25,,,,,,,,120,,,
64,7.5,,,,,,,1.947,,,,9.447,3440,,
65,8.66,,,,,,1,,,,,BLANK,4000,,
66,,,,,,,,,,,,,,,
68,228.458,,,40.8,,,,4.562,,,,272.458,,,
69,101,12,22,20,,,,0.188,1.2,0.326,,156.714,,,
70,350.26,6,,,,,,,,,,356.26,,,
71,,6.081,,,,,,,,,,BLANK,4056,,
72,86.4,,,,,,,9.049,,3.435,,98.884,,,
73,137,,,16.99,,,0,4.782,0.85,0.118,,159.74,,,
74,71.92,,,,,,,,,,,71.92,,,
75,,,,,,,,,,,,,,,
76,288.519,,,38.15,,,1,17.452,,,,345.121,,,
77,121.63,0,0,8.87,0,0,0,61.38,25.199,0.371,0,157.45,,,
78,188,,,8,,,,1.6,7.07,,,196.67,,,
79,155,,,,,,,,,,,155,,,
80,31.391,,,10.261,,,,,5.1,,,46.752,,,
81,36.548,,,1.3,,,,0.5,,,,38.348,,,
82,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,90.069,,,,,,,,,,,90.069,,,
86,169.542,,,0.43,,,,6.858,,,,176.83,,,
87,138.093,,,,,,,7.229,0,,,145.322,,,
88,39,,,,,,,,,,,BLANK,,,
89,61.01,,,,,,,,,,,61.01,,,
90,,,,,,,,,,,,,,,
92,17.6,,,31.218,,,0,1.25,,,,BLANK,,,
93,,,,,,,,,,,,,,,
94,862.678,,31.23,76.242,,,1,1148.579,13.16,6.24,,1048.607,,,
95,164.5,,,27.5,,,1,7,,,,200,,,
96,26.34,,,,,,,1.355,,,,27.695,,,
97,379.599,,,5.286,,,1,25.48,9.568,,,420.933,,,
98,73.07,,,,,,1,4.5,1.43,,,80,,,
99,,,,,,,,,,,,,,,
100,1.09,,,16.76,,,1,7.605,,,,26.455,,,
102,8.42,,,,,,,,,,,BLANK,5052,,
103,,,,,,,,,,,,,,,
104,3.6,,,8.809,,,1,3,,,,BLANK,,,
105,15.3,,,20,,,0,2,,,,37.3,,,
107,,,,,26.927,,1,,,,,27.927,,,
109,110.835,0,0,27.5,0,0,1,4.428,0,2.202,0,145.965,,,
110,94.8,,,,,,1,2.505,,,,98.305,,,
111,,,,,,,,,,,,,,,
112,88.47,,,14.37,,,,2.28,2.75,1.03,,108.9,,,
113,59.89,,10.9,16.97,,,,0.249,7.451,,,BLANK,,,
114,92,,,25.37,,,,,,,,117.37,,,
116,205.8,,,81.07,,,,,,,,286.87,,,
117,,144.138,,,,,,4.702,,,,148.84,,,
118,279.55,8,6,12.22,,,0,1.468,8.73,1.532,,317.5,,,
119,109.36,,6,,,,0,4.64,,,,BLANK,,,
120,42.955,,,7.42,,,,1.995,,,,52.37,,,
121,17.787,,,,,,2,2.9,,,,22.687,,,
122,94.35,,,17,,,1,4.49,,,,116.84,,,
123,63.73,,,14.96,,,,0.25,,,,BLANK,,,
124,52.34,,,,,,,26.56,,,,BLANK,,,
125,,,,,,,,,,,,,,,
126,36.77,,,,,,,3.23,,,,40,,,
127,165.74,,,2.18,,,,1.633,1.6,,,171.153,,,
128,,,,,,,,,,,,,,,
129,53.4,,,14.12,,,1,4.81,,,,73.33,,,
131,,,,,34.162,,,0.029,,,,34.191,,,
132,,8.5,40.3,,,,1,4.258,,,,54.058,,,
133,221.992,268.038,,54.2,,,4,17.47,0.43,2.19,,574.32,,,
134,73.75,,,,,,1,6,,,,80.75,,,
135,,26.31,,,,,,0.567,,,,26.877,,,
136,57.33,,,56.163,,,,,4.95,,,118.443,,,
137,87.38,,,,,,1,2.749,16.111,,,107.79,,,
138,94.7,,2.3,19.73,,,2,14.952,8.71,,,142.392,,,
139,21.839,,,,39.186,,1,6.139,,,1,69.164,,,
140,245.43,,,20,,,1,29.353,,,,295.783,,,
141,54.355,,,,,,,1.219,,,,55.574,,,
142,13.307,,,11.872,,,2,0.017,0.004,,,27.2,,,
143,55.029,,,5.7,,,,1.849,,,,62.578,,,
144,5,,,,,,,,,,,BLANK,2315,,
145,,,,,,,,,,,,,,,
146,89.52,,,9.09,,,,3.081,2.5,0.486,,104.677,,,
148,305,,,,,,1,11.658,,,,317.658,,,
149,30.7,,,,,,,2.21,,,,32.91,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,133.23,,,12.25,,,,4.16,,,,BLANK,,,
155,95,,,8,,,,,,,,103,30400,,
156,62.457,,,,,,,,,,,BLANK,,,
157,14.632,,,,,,0,1,,,,15.632,,,
158,16.923,0,0,0,0,0,0,1.067,0,0,0,17.99,,,
159,,,,,,,,,,,,,,,
160,141.14,,10.17,,,,1,9.16,,,,161.47,,,
161,118.056,0,0,19.123,0,0,0,0.125,0,0,0,140,,,
162,,,,,,,,,,,,,,,
163,,,,,15.83,,,,,,,BLANK,,,
164,70,,,21,,,1,5.88,,,,97.88,,,
165,,,,,,,,,,,,,,,
166,19.87,,2,,,,,10.979,,,,32.849,,,
167,135.81,,,9,,,2,5.54,,,,152.35,,,
168,96.5,,,,,,2,4.25,,,,102.75,,,
169,92.02,,,,,,,2.897,,,,BLANK,,,
170,52,,,,,,1,4.754,0.5,1.746,,60,,,
171,132.74,,,43.48,,,,4.11,9.7,,,190.03,,,
172,56.663,,,1.663,,,1,2.174,,,,61.5,,,
173,60,0,0,3,0,0,1,7.21,,,,71.21,,,
175,132,,,31,,,1,4,,,,168,,,
176,49.67,,,1.5,,,1,2,4.28,,,58.45,,,
179,261.229,0,0,7.067,0,0,1,6.486,0,0,0,275.582,,,
180,30,80,15,12,,,1,13.3,,,,151.3,,,
181,,,,,,,,,,,,,,,
182,1,,2.5,,,,1,2.329,,,,BLANK,540,294.15,
183,103.9,,8.28,,,,1,2.82,0,,,120,,,
184,15.951,,,,,,,0.42,,,,16.371,,,
185,59.395,,,,,,,,,,,59.395,,,
186,10.565,,,,,,1,1,,,,12.565,,,
187,59.511,,,,,,,,,,,BLANK,,,
188,38.66,,,,,,1,1,,,,40.66,,,
189,,,,,15,,1,4.835,,,,20.8355,,,
190,,40,,104.413,,,,,,,,144.413,,,
191,118.934,,,,,,,,,,,118.934,,,
192,,,,,,,,100,0,,,100,,,
193,36.73,,,,,,,0.438,,,2.879,40.047,,,
194,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,
196,55.22,,,11.91,,,1,9.608,,,,77.78,,,
199,,,,,,,,,,,,,,,
200,5,,,25.218,,,,0.609,,,,30.827,2262,,
201,,,,,32.017,,,0.408,,,,32.425,,,
202,146.67,,,13.67,,,,1.24,,,,BLANK,,,
203,233,,,17,,,,,,,,250,,,
204,,,,,,,,,,,,,,,
205,73.73,,,3.34,,,1,1.93,,,,80,,,
206,73.3,,,,,,1,2.69,0,,,79.99,,,
207,,12.15,,,,,,4.207,,,,16.357,,,
208,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,
210,28.974,,,,,,,,,,,BLANK,,,
211,,,,,54,,,,,,,54,,,
212,5,,,5.714,,,,0.5,,,,11.214,,,
213,124.8,,,,,,1,13.098,,,,138.898,,,
